StudyName,Include,Design,IndependentVariable,IndependentType,DependentVariable,DependentType,DependentSubType,LinkType,TotalSampleSize,InterventionDuration,ExperimentalGroup,ExperimentalGroupN,ExperimentalGroup2,ExperimentalGroup2N,ExperimentalGroup3,ExperimentalGroup3N,ControlGroup,ControlGroupN,MeanAge,PercFemale,AgeGroup,CognitiveStatus,BMIBaseline,SessionAdherence,TestType,TestTypeSub,FitnessMeasure,ChangeinFM,ChangeinFMStandardized,InterventionIntensity,ConversionToNorton2010,ConversionToGarber2011,IntensityAdherence,SessionsPerWeek,DurationInMinutes,WeeklyMinutes,TrueInterventionToincreaseFitness?,Notes,refID
Scherder2005,Y,Intervention,AerobicTraining,Activity,DigitSpan,Combined,NA,Null,43.0,6.0,Walking,15.0,Handface,15.0,Social,8.0,NoContact,7.0,86.0,90.0,Older,MCI,NaN,NaN,NA,NA,NA,NaN,NaN,NA,NA,NA,NA,3.0,30.0,90.0,UnclearNoData,30 min walk and 15 min Hand face exercises ,10.1080/13607860500089930
Babaei2013,Y,Intervention,AerobicTraining,Activity,DigitSpan,forward,NA,Positive,42.0,6.0,Aerobic,11.0,MetabolicSyndromeExercise,11.0,MetabolicSyndromeControl,10.0,Nointervention,10.0,57.13,0.0,Older,CognitivelyNormal,25.39,NaN,CyclingMaxTest,Max,V02Peak,NaN,NaN,50-60%V02Peak,Moderate,Moderate,Supervised-Pulse,3.0,60.0,180.0,Yes,"Reported 4 groups, healthy exercise, metabolic syndrome exercise, healthy controls and metabolic controls. Healthy exercise only group to show change in digit span. Didn’t report v02 changes. Inferred digitspan forward based on description.",PMID23828292
Babaei2013,Y,Intervention,AerobicTraining,Activity,BDNF,serum,NA,Positive,42.0,6.0,Aerobic,11.0,MetabolicSyndromeExercise,11.0,MetabolicSyndromeControl,10.0,Nointervention,10.0,57.13,0.0,Older,CognitivelyNormal,25.39,NaN,CyclingMaxTest,Max,V02Peak,NaN,NaN,50-60%V02Peak,Moderate,Moderate,Supervised-Pulse,3.0,60.0,180.0,Yes,"Reported 4 groups, healthy exercise, metabolic syndrome exercise, healthy controls and metabolic controls. Healthy exercise only group to show change in digit span. Didn’t report v02 changes. Inferred digitspan forward based on description.",PMID23828292
Babaei2013,Y,Intervention,BDNF,Biomarker,DigitSpan,forward,NA,Positive,42.0,6.0,Aerobic,11.0,MetabolicSyndromeExercise,11.0,MetabolicSyndromeControl,10.0,Nointervention,10.0,57.13,0.0,Older,CognitivelyNormal,25.39,NaN,CyclingMaxTest,Max,V02Peak,NaN,NaN,50-60%V02Peak,Moderate,Moderate,Supervised-Pulse,3.0,60.0,180.0,Yes,"Reported 4 groups, healthy exercise, metabolic syndrome exercise, healthy controls and metabolic controls. Healthy exercise only group to show change in digit span. Didn’t report v02 changes. Inferred digitspan forward based on description.",PMID23828292
Fabre2002,Y,Intervention,AerobicTraining,Activity,VerbalPairedAssociates,NA,WMS-III,Positive,32.0,8.0,Aerobic,8.0,Mental,8.0,Multicomponent,8.0,Social,8.0,65.88,84.38,Older,CognitivelyNormal,24.9,NaN,CyclingMaxTest,Max,V02Max,12%,0.12,VT1,Moderate,Moderate,HrMonitorSupervised,2.0,60.0,120.0,Yes,"did interval training, 400m x 4, 800m x 2. 45 minutes? AT group 62.9 kg, 159.0 cm for BMI calculation - assume high adherence, only 2x week. V02 - mlxmin^-1 = 1350 base to 1630.",10.1055/s-2002-33735
Fabre2002,Y,Intervention,AerobicTraining,Activity,LogicalMemory,Immediate,WMS-III,Positive,32.0,8.0,Aerobic,8.0,Mental,8.0,Multicomponent,8.0,Social,8.0,65.88,84.38,Older,CognitivelyNormal,24.9,NaN,CyclingMaxTest,Max,V02Max,12%,0.12,VT1,Moderate,Moderate,HrMonitorSupervised,2.0,60.0,120.0,Yes,"did interval training, 400m x 4, 800m x 2. 45 minutes? AT group 62.9 kg, 159.0 cm for BMI calculation - assume high adherence, only 2x week. V02 - mlxmin^-1 = 1350 base to 1630.",10.1055/s-2002-33735
Fabre2002,Y,Intervention,AerobicTraining,Activity,DigitSpan,forward,NA,Null,32.0,8.0,Aerobic,8.0,Mental,8.0,Multicomponent,8.0,Social,8.0,65.88,84.38,Older,CognitivelyNormal,24.9,NaN,CyclingMaxTest,Max,V02Max,12%,0.12,VT1,Moderate,Moderate,HrMonitorSupervised,2.0,60.0,120.0,Yes,"did interval training, 400m x 4, 800m x 2. 45 minutes? AT group 62.9 kg, 159.0 cm for BMI calculation - assume high adherence, only 2x week. V02 - mlxmin^-1 = 1350 base to 1630.",10.1055/s-2002-33735
Berryman2014,Y,Intervention,MulticomponentTraining,Activity,DigitSpan,Combined,NA,Null,47.0,8.0,MulticomponentLowerBody,16.0,MulticomponentUpperBody,15.0,NA,NaN,Stretch,16.0,69.8,61.7,Older,CognitivelyNormal,25.72,96.9,CyclingMaxTest,Max,V02Peak,2.4,0.0902,65%MaximalAerobicPower,Vigorous,Vigorous,NA,3.0,60.0,180.0,Yes,"Reporting lower body BMI, age, etc. 26.6 v02 to 29.0 in lower body. 25.4 to 28.3 in upper body. 20.1 to 19.9 in gross motor control.",10.1007/s11357-014-9710-8
Berryman2014,Y,Intervention,MulticomponentTraining,Activity,Stroop,NA,NA,Positive,47.0,8.0,MulticomponentLowerBody,16.0,MulticomponentUpperBody,15.0,NA,NaN,Stretch,16.0,69.8,61.7,Older,CognitivelyNormal,25.72,96.9,CyclingMaxTest,Max,V02Peak,2.4,0.0902,65%MaximalAerobicPower,Vigorous,Vigorous,NA,3.0,60.0,180.0,Yes,"Reporting lower body BMI, age, etc. 26.6 v02 to 29.0 in lower body. 25.4 to 28.3 in upper body. 20.1 to 19.9 in gross motor control.",10.1007/s11357-014-9710-8
Eggenberger2016,Y,Intervention,Dance,Activity,TrailMaking,A,NA,Null,33.0,8.0,Dance,19.0,NA,NaN,NA,NaN,Stretch,14.0,74.9,63.6,Older,CognitivelyNormal,24.4,91.4,NA,NA,NA,NaN,NaN,PerceivedExertion-ModeratetoVigorous,Moderate-Vigorous,Moderate-Vigorous,Self-report,3.0,30.0,90.0,UnclearNoData,"TMT-A and TMT-B Time main effect, both groups improved, not sig interaction with condition",10.3389/fnagi.2016.00066
Eggenberger2016,Y,Intervention,Dance,Activity,TrailMaking,B,NA,Null,33.0,8.0,Dance,19.0,NA,NaN,NA,NaN,Stretch,14.0,74.9,63.6,Older,CognitivelyNormal,24.4,91.4,NA,NA,NA,NaN,NaN,PerceivedExertion-ModeratetoVigorous,Moderate-Vigorous,Moderate-Vigorous,Self-report,3.0,30.0,90.0,UnclearNoData,"TMT-A and TMT-B Time main effect, both groups improved, not sig interaction with condition",10.3389/fnagi.2016.00066
Eggenberger2016,Y,Intervention,Dance,Activity,Stroop,NA,NA,Positive,33.0,8.0,Dance,19.0,NA,NaN,NA,NaN,Stretch,14.0,74.9,63.6,Older,CognitivelyNormal,24.4,91.4,NA,NA,NA,NaN,NaN,PerceivedExertion-ModeratetoVigorous,Moderate-Vigorous,Moderate-Vigorous,Self-report,3.0,30.0,90.0,UnclearNoData,"TMT-A and TMT-B Time main effect, both groups improved, not sig interaction with condition",10.3389/fnagi.2016.00066
Schoene2013,Y,Intervention,Exergames,Activity,TrailMaking,B,AdjustedFromTrailA,Null,32.0,8.0,Exergames,15.0,NA,NaN,NA,NaN,Nointervention,17.0,78.0,NaN,Older,CognitivelyNormal,NaN,91.66,Na,NA,NA,NaN,NaN,NA,NA,NA,NA,3.0,17.5,52.5,UnclearNoData,"Exergame, seems similar to dance?",10.1371/journal.pone.0057734
Schoene2013,Y,Intervention,Exergames,Activity,VerbalFluency,Animal,dual-task,Positive,32.0,8.0,Exergames,15.0,NA,NaN,NA,NaN,Nointervention,17.0,78.0,NaN,Older,CognitivelyNormal,NaN,91.66,Na,NA,NA,NaN,NaN,NA,NA,NA,NA,3.0,17.5,52.5,UnclearNoData,"Exergame, seems similar to dance?",10.1371/journal.pone.0057734
Sugano2012,Y,Intervention,AerobicTraining,Activity,VerbalFluency,Animal,NA,Null,44.0,8.0,Aerobic,14.0,Cognitive,17.0,NA,NaN,Nointervention,13.0,74.1,67.2,Older,Mixed,NaN,66.0,NA,NA,NA,NaN,NaN,3Mets,Light,Light,Self-report,1.0,60.0,60.0,No,NA,10.1159/000337224
Gothe2014,Y,Intervention,Yoga,Activity,Task-switching,NA,NA,Positive,108.0,8.0,Yoga,58.0,NA,NaN,NA,NaN,Stretch,50.0,62.1,80.3,Older,CognitivelyNormal,NaN,80.82,NA,NA,NA,NaN,NaN,NA,NA,NA,NA,3.0,NaN,NaN,UnclearNoData,NA,10.1093/gerona/glu095
Gothe2014,Y,Intervention,Yoga,Activity,Nback,NA,NA,Positive,108.0,8.0,Yoga,58.0,NA,NaN,NA,NaN,Stretch,50.0,62.1,80.3,Older,CognitivelyNormal,NaN,80.82,NA,NA,NA,NaN,NaN,NA,NA,NA,NA,3.0,NaN,NaN,UnclearNoData,NA,10.1093/gerona/glu095
Schattin2016,Y,Intervention,Exergames,Activity,Nback,NA,NA,Positive,27.0,9.0,Exergames,13.0,NA,NaN,NA,NaN,Balance,14.0,79.2,44.4,Older,CognitivelyNormal,NaN,100.0,NA,NA,NA,NaN,NaN,PerceivedExertion-ModeratetoVigorous,Moderate-Vigorous,Moderate-Vigorous,Self-report,3.0,30.0,90.0,UnclearNoData,"Exergame, seems similar to dance?",10.3389/fnagi.2016.00278
Schattin2016,Y,Intervention,Exergames,Activity,Flanker,NA,NA,Null,27.0,9.0,Exergames,13.0,NA,NaN,NA,NaN,Balance,14.0,79.2,44.4,Older,CognitivelyNormal,NaN,100.0,NA,NA,NA,NaN,NaN,PerceivedExertion-ModeratetoVigorous,Moderate-Vigorous,Moderate-Vigorous,Self-report,3.0,30.0,90.0,UnclearNoData,"Exergame, seems similar to dance?",10.3389/fnagi.2016.00278
Emery1998,Y,Intervention,MulticomponentTraining,Activity,VerbalFluency,Letter,NA,Positive,79.0,10.0,Multicomponent,29.0,Educational,25.0,NA,NaN,Waitlist,25.0,66.6,53.0,older,CognitivelyNormal,NaN,86.0,CyclingMaxTest,Max,V02Max,2,0.1818,NA,NA,NA,NA,3.0,90.0,270.0,Yes,Chronic Obstructive Pulmonary Disease - V02 11.6 avg 14.4 at time 2,10.1037//0278-6133.17.3.232
Emery1998,Y,Intervention,MulticomponentTraining,Activity,TrailMaking,A,NA,Null,79.0,10.0,Multicomponent,29.0,Educational,25.0,NA,NaN,Waitlist,25.0,66.6,53.0,older,CognitivelyNormal,NaN,86.0,CyclingMaxTest,Max,V02Max,2,0.1818,NA,NA,NA,NA,3.0,90.0,270.0,Yes,Chronic Obstructive Pulmonary Disease - V02 11.6 avg 14.4 at time 2,10.1037//0278-6133.17.3.232
Emery1998,Y,Intervention,MulticomponentTraining,Activity,TrailMaking,B,NA,Null,79.0,10.0,Multicomponent,29.0,Educational,25.0,NA,NaN,Waitlist,25.0,66.6,53.0,older,CognitivelyNormal,NaN,86.0,CyclingMaxTest,Max,V02Max,2,0.1818,NA,NA,NA,NA,3.0,90.0,270.0,Yes,Chronic Obstructive Pulmonary Disease - V02 11.6 avg 14.4 at time 2,10.1037//0278-6133.17.3.232
Masley2009,N,Intervention,AerobicTraining,Activity,RAVLT,Immediate,CNSVitalSigns,Null,91.0,10.0,Aerobic,71.0,NA,NaN,NA,NaN,Nocontact,20.0,47.4,67.6,Middle,NA,NaN,NaN,NA,NA,NA,NaN,NaN,NA,NA,NA,NA,NaN,NaN,NaN,NA,"modified RAVLT - combined in composite with visual memory from - Rey Visual Design Learning Test. Control 0-2 days vs aerobic. Moderate aerobic 3-4, high aerobic 5-6…MV - no don’t include, combining 2 domains.. Composite for stroop and another task as well.",10.1007/s10880-009-9159-6
Barnes2013,Y,Intervention,AerobicTraining,Activity,Flanker,NA,NA,Null,126.0,12.0,Aerobic,31.0,NA,NaN,NA,NaN,Stretch,32.0,74.3,60.3,Older,CognitivelyNormal,NaN,NaN,Age,Calculated,NA,NaN,NaN,60-75%AgePredictedMax,Moderate-Vigorous,Moderate,Self-Pulse,3.0,60.0,180.0,Yes,"Cognitive training group and control groups as separate arms (MAX Trial) - measured by participant checking pulse on neck, dance based aerobic exercise",10.1001/jamainternmed.2013.189
Barnes2013,Y,Intervention,AerobicTraining,Activity,RAVLT,Delayed,NA,Null,126.0,12.0,Aerobic,31.0,NA,NaN,NA,NaN,Stretch,32.0,74.3,60.3,Older,CognitivelyNormal,NaN,NaN,Age,Calculated,NA,NaN,NaN,60-75%AgePredictedMax,Moderate-Vigorous,Moderate,Self-Pulse,3.0,60.0,180.0,Yes,"Cognitive training group and control groups as separate arms (MAX Trial) - measured by participant checking pulse on neck, dance based aerobic exercise",10.1001/jamainternmed.2013.189
Barnes2013,Y,Intervention,AerobicTraining,Activity,VerbalFluency,Letter,NA,Null,126.0,12.0,Aerobic,31.0,NA,NaN,NA,NaN,Stretch,32.0,74.3,60.3,Older,CognitivelyNormal,NaN,NaN,Age,Calculated,NA,NaN,NaN,60-75%AgePredictedMax,Moderate-Vigorous,Moderate,Self-Pulse,3.0,60.0,180.0,Yes,"Cognitive training group and control groups as separate arms (MAX Trial) - measured by participant checking pulse on neck,  dance based aerobic exercise",10.1001/jamainternmed.2013.189
Barnes2013,Y,Intervention,AerobicTraining,Activity,TrailMaking,A,NA,Null,126.0,12.0,Aerobic,31.0,NA,NaN,NA,NaN,Stretch,32.0,74.3,60.3,Older,CognitivelyNormal,NaN,NaN,Age,Calculated,NA,NaN,NaN,60-75%AgePredictedMax,Moderate-Vigorous,Moderate,Self-Pulse,3.0,60.0,180.0,Yes,"Cognitive training group and control groups as separate arms (MAX Trial) - measured by participant checking pulse on neck, dance based aerobic exercise",10.1001/jamainternmed.2013.189
Barnes2013,Y,Intervention,AerobicTraining,Activity,TrailMaking,B,NA,Null,126.0,12.0,Aerobic,31.0,NA,NaN,NA,NaN,Stretch,32.0,74.3,60.3,Older,CognitivelyNormal,NaN,NaN,Age,Calculated,NA,NaN,NaN,60-75%AgePredictedMax,Moderate-Vigorous,Moderate,Self-Pulse,3.0,60.0,180.0,Yes,"Cognitive training group and control groups as separate arms (MAX Trial) - measured by participant checking pulse on neck,  dance based aerobic exercise",10.1001/jamainternmed.2013.189
Emery1990,Y,Intervention,AerobicTraining,Activity,DigitSpan,NA,NA,Null,48.0,12.0,Aerobic,15.0,Social,15.0,NA,NaN,Waitlist,18.0,72.0,83.33,Older,CognitivelyNormal,NaN,77.0,Age,Calculated,NA,NaN,NaN,70%HrMax,Moderate,Moderate,Self-Pulse,3.0,60.0,180.0,Yes,61-94% session adherence. 19% attrition. ,10.1093/geront/30.2.184
Holthoff2015,Y,Intervention,AerobicTraining,Activity,VerbalFluency,Semantic,NA,Positive,30.0,12.0,Aerobic,15.0,NA,NaN,NA,NaN,MotorAssistedCycling,15.0,72.4,50.0,Older,Dementia,23.43,NaN,NA,NA,NA,NaN,NaN,NA,NA,NA,NA,3.0,30.0,90.0,No,Alzheimer's… increase in ADL. Session adherence high but not reported,10.1371/journal.pone.0121478
Langlois2013,Y,Intervention,AerobicTraining,Activity,RAVLT,NA,NA,Null,72.0,12.0,Aerobic,36.0,NA,NaN,NA,NaN,Waitlist,36.0,71.45,77.77,Older,CognitivelyNormal,NaN,NaN,NA,NA,6minWalk,NaN,NaN,PerceivedExertion-ModeratetoVigorous,Moderate-Vigorous,Moderate-Vigorous,Self-report,3.0,60.0,180.0,UnclearNoData,"Composite RAVLT - Frailty 2 of 3 symptoms required - borg rating of perceived exertion scale 0-10, reach moderate to hard intensity, reported as composities. Executive function is stroop and trailmaking b-a",10.1093/geronb/gbs069
Langlois2013,Y,Intervention,AerobicTraining,Activity,TrailMaking,B,AdjustedFromTrailA,Positive,72.0,12.0,Aerobic,36.0,NA,NaN,NA,NaN,Waitlist,36.0,71.45,77.77,Older,CognitivelyNormal,NaN,NaN,NA,NA,6minWalk,NaN,NaN,PerceivedExertion-ModeratetoVigorous,Moderate-Vigorous,Moderate-Vigorous,Self-report,3.0,60.0,180.0,UnclearNoData,"Composite RAVLT - Frailty 2 of 3 symptoms required - borg rating of perceived exertion scale 0-10, reach moderate to hard intensity, reported as composities. Executive function is stroop and trailmaking b-a",10.1093/geronb/gbs069
Langlois2013,Y,Intervention,AerobicTraining,Activity,Stroop,NA,NA,Positive,72.0,12.0,Aerobic,36.0,NA,NaN,NA,NaN,Waitlist,36.0,71.45,77.77,Older,CognitivelyNormal,NaN,NaN,NA,NA,6minWalk,NaN,NaN,PerceivedExertion-ModeratetoVigorous,Moderate-Vigorous,Moderate-Vigorous,Self-report,3.0,60.0,180.0,UnclearNoData,"Composite RAVLT - Frailty 2 of 3 symptoms required - borg rating of perceived exertion scale 0-10, reach moderate to hard intensity, reported as composities. Executive function is stroop and trailmaking b-a",10.1093/geronb/gbs069
Langlois2013,Y,Intervention,AerobicTraining,Activity,DigitSpan,backward,NA,Positive,72.0,12.0,Aerobic,36.0,NA,NaN,NA,NaN,Waitlist,36.0,71.45,77.77,Older,CognitivelyNormal,NaN,NaN,NA,NA,6minWalk,NaN,NaN,PerceivedExertion-ModeratetoVigorous,Moderate-Vigorous,Moderate-Vigorous,Self-report,3.0,60.0,180.0,UnclearNoData,"Composite RAVLT - Frailty 2 of 3 symptoms required - borg rating of perceived exertion scale 0-10, reach moderate to hard intensity, reported as composities. Executive function is stroop and trailmaking b-a",10.1093/geronb/gbs069
Molloy1988b,Y,Intervention,MulticomponentTraining,Activity,LogicalMemory,Immediate,WMS-III,Null,45.0,12.0,Multicomponent,23.0,NA,NaN,NA,NaN,Nocontact,22.0,82.0,100.0,Older,CognitivelyNormal,NaN,71.0,NA,NA,NA,NaN,NaN,10-20beats increase,Light,VeryLight,NA,3.0,45.0,135.0,No,"Institutionalized, not intended to increaes fitness, 10-20 beats/min increase in HR.",
Molloy1988b,Y,Intervention,MulticomponentTraining,Activity,VerbalFluency,Category,WesternAphasiaBattery,Positive,45.0,12.0,Multicomponent,23.0,NA,NaN,NA,NaN,Nocontact,22.0,82.0,100.0,Older,CognitivelyNormal,NaN,71.0,NA,NA,NA,NaN,NaN,10-20beats increase,Light,VeryLight,NA,3.0,45.0,135.0,No,"Institutionalized, not intended to increaes fitness, 10-20 beats/min increase in HR.",
Molloy1988b,Y,Intervention,MulticomponentTraining,Activity,DigitSpan,Combined,NA,Null,45.0,12.0,Multicomponent,23.0,NA,NaN,NA,NaN,Nocontact,22.0,82.0,100.0,Older,CognitivelyNormal,NaN,71.0,NA,NA,NA,NaN,NaN,10-20beats increase,Light,VeryLight,NA,3.0,45.0,135.0,No,"Institutionalized, not intended to increaes fitness, 10-20 beats/min increase in HR.",
Steinberg2009,Y,Intervention,MulticomponentTraining,Activity,HVLT,NA,NA,Null,27.0,12.0,Multicomponent,14.0,NA,NaN,NA,NaN,Homesafety,13.0,76.5,70.37,Older,Dementia,NaN,79.0,NA,NA,NA,NaN,NaN,NA,NA,NA,NA,3.0,NaN,NaN,No,"Unclear what part of HVLT is reported. Poor reporting, questionable if we should include. Only recovered 92/156 of the participants exercise data. Of those, they reached 79% of their goals fo aerobic (self-report). More interested in improving daily living for MCI.",10.1002/gps.2175
VandeWinkclen2004,Y,Intervention,AerobicTraining,Activity,VerbalFluency,Category,ADS6,Positive,25.0,12.0,Aerobic,15.0,NA,NaN,NA,NaN,Nointervention,10.0,81.33,100.0,Older,Dementia,NaN,NaN,NA,NA,NA,NaN,NaN,NA,NA,NA,NA,7.0,30.0,210.0,No,"dementia, not interested in CRF, physical activity and music ",
Hassmen1992,Y,Intervention,AerobicTraining,Activity,DigitSpan,forward,NA,Positive,30.0,12.0,Aerobic,15.0,NA,NaN,NA,NaN,Cognitive,15.0,66.2,100.0,Older,CognitivelyNormal,25.7,NaN,CyclingSubMax,Estimated,V02Max,3,0.1053,PerceivedExertion-Moderate,Moderate,Moderate,Self-report,3.0,20.0,60.0,Yes,"Assumed forward digit span from description. Estimated Vo2 max  according to tables by Astrand (1960); Astrand and Ryhming (1954) based on cycle ergometer watter between 50 and 100w. 55-65yo V02 28.5-31.5, 66-75yo 26.3-29.3. Estimated BMI from height/weight of 55-65 age group.",10.1007/bf00625068
Hassmen1997,Y,Intervention,AerobicTraining,Activity,ListLearning,Immediate,NA,Null,40.0,12.0,Aerobic,20.0,NA,NaN,NA,NaN,Nointervention,20.0,66.4,50.0,Older,CognitivelyNormal,NaN,NaN,CyclingSubMax,Estimated,NA,NaN,NaN,PerceivedExertion-Moderate,Moderate,Moderate,Self-report,3.0,30.0,90.0,UnclearNoData,Did cycling test to determine RPE scale with HR. main effect,10.1007/bf03340139
Hassmen1997,Y,Intervention,AerobicTraining,Activity,ListLearning,Delayed,NA,Null,40.0,12.0,Aerobic,20.0,NA,NaN,NA,NaN,Nointervention,20.0,66.4,50.0,Older,CognitivelyNormal,NaN,NaN,CyclingSubMax,Estimated,NA,NaN,NaN,PerceivedExertion-Moderate,Moderate,Moderate,Self-report,3.0,30.0,90.0,UnclearNoData,Did cycling test to determine RPE scale with HR.,10.1007/bf03340139
Hassmen1997,Y,Intervention,AerobicTraining,Activity,DigitSpan,forward,NA,Positive,40.0,12.0,Aerobic,20.0,NA,NaN,NA,NaN,Nointervention,20.0,66.4,50.0,Older,CognitivelyNormal,NaN,NaN,CyclingSubMax,Estimated,NA,NaN,NaN,PerceivedExertion-Moderate,Moderate,Moderate,Self-report,3.0,30.0,90.0,UnclearNoData,Did cycling test to determine RPE scale with HR.,10.1007/bf03340139
Linde2014,Y,Intervention,AerobicTraining,Activity,TrailMaking,A,NA,Null,55.0,12.0,Aerobic,15.0,Multicomponent,16.0,Cognitive,11.0,Waitlist,13.0,67.63,58.0,Older,CognitivelyNormal,NaN,81.0,2kmWalk,Estimated,V02Max,NaN,NaN,60-70%HrReserve,Vigorous,Vigorous,HrMonitorSupervised,2.0,60.0,120.0,Yes,"All groups increased V02, unlikely that their version of submax test is valid. Not reporting changeinfm",10.1123/japa.2012-0149
Linde2014,Y,Intervention,AerobicTraining,Activity,ListLearning,Immediate,NA,Null,55.0,12.0,Aerobic,15.0,Multicomponent,16.0,Cognitive,11.0,Waitlist,13.0,67.63,58.0,Older,CognitivelyNormal,NaN,81.0,2kmWalk,Estimated,V02Max,NaN,NaN,60-70%HrReserve,Vigorous,Vigorous,HrMonitorSupervised,2.0,60.0,120.0,Yes,"All groups increased V02, unlikely that their version of submax test is valid. Not reporting changeinfm",10.1123/japa.2012-0149
Maki2012,Y,Intervention,AerobicTraining,Activity,VerbalFluency,Animal,NA,Positive,133.0,12.0,Aerobic,66.0,NA,NaN,NA,NaN,Educational,67.0,72.0,70.66,Older,CognitivelyNormal,NaN,87.5,NA,NA,NA,NaN,NaN,NA,NA,NA,NA,1.0,90.0,90.0,UnclearNoData,NA,10.1111/j.1532-5415.2011.03838.x
