StudyName,Include,Design,IndependentVariable,IndependentType,DependentVariable,DependentType,DependentSubType,LinkType,TotalSampleSize,InterventionDuration,ExperimentalGroup,ExperimentalGroupN,ExperimentalGroup2,ExperimentalGroup2N,ExperimentalGroup3,ExperimentalGroup3N,ControlGroup,ControlGroupN,MeanAge,PercFemale,AgeGroup,CognitiveStatus,BMIBaseline,SessionAdherence,TestType,TestTypeSub,FitnessMeasure,ChangeinFM,ChangeinFMStandardized,InterventionIntensity,ConversionToNorton2010,ConversionToGarber2011,IntensityAdherence,SessionsPerWeek,DurationInMinutes,WeeklyMinutes,TrueInterventionToincreaseFitness?,Notes
Scherder2005,Y,Intervention,AerobicTraining,Activity,TrailMaking,Combined,,Null,43,6,Walking,15,Handface,15,Social,8,NoContact,7,86,90,Older,MCI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,30,90,UnclearNoData,30 min walk and 15 min Hand face exercises 
Scherder2005,Y,Intervention,AerobicTraining,Activity,DigitSpan,Combined,,Null,43,6,Walking,15,Handface,15,Social,8,NoContact,7,86,90,Older,MCI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,30,90,UnclearNoData,30 min walk and 15 min Hand face exercises 
Babaei2013,Y,Intervention,AerobicTraining,Activity,DigitSpan,forward,,Positive,42,6,Aerobic,11,MetabolicSyndromeExercise,11,MetabolicSyndromeControl,10,Nointervention,10,57.13,0,Older,CognitivelyNormal,25.39,NA,CyclingMaxTest,Max,V02Peak,NA,NA,50-60%V02Peak,Moderate,Moderate,Supervised-Pulse,3,60,180,Yes,"Reported 4 groups, healthy exercise, metabolic syndrome exercise, healthy controls and metabolic controls. Healthy exercise only group to show change in digit span. Didn’t report v02 changes. Inferred digitspan forward based on description."
Babaei2013,Y,Intervention,AerobicTraining,Activity,BDNF,serum,,Positive,42,6,Aerobic,11,MetabolicSyndromeExercise,11,MetabolicSyndromeControl,10,Nointervention,10,57.13,0,Older,CognitivelyNormal,25.39,NA,CyclingMaxTest,Max,V02Peak,NA,NA,50-60%V02Peak,Moderate,Moderate,Supervised-Pulse,3,60,180,Yes,"Reported 4 groups, healthy exercise, metabolic syndrome exercise, healthy controls and metabolic controls. Healthy exercise only group to show change in digit span. Didn’t report v02 changes. Inferred digitspan forward based on description."
Babaei2013,Y,Intervention,BDNF,Biomarker,DigitSpan,forward,,Positive,42,6,Aerobic,11,MetabolicSyndromeExercise,11,MetabolicSyndromeControl,10,Nointervention,10,57.13,0,Older,CognitivelyNormal,25.39,NA,CyclingMaxTest,Max,V02Peak,NA,NA,50-60%V02Peak,Moderate,Moderate,Supervised-Pulse,3,60,180,Yes,"Reported 4 groups, healthy exercise, metabolic syndrome exercise, healthy controls and metabolic controls. Healthy exercise only group to show change in digit span. Didn’t report v02 changes. Inferred digitspan forward based on description."
Fabre2002,Y,Intervention,AerobicTraining,Activity,VerbalPairedAssociates,,WMS-III,Positive,32,8,Aerobic,8,Mental,8,Multicomponent,8,Social,8,65.88,84.38,Older,CognitivelyNormal,24.9,NA,CyclingMaxTest,Max,V02Max,12%,0.12000,VT1,Moderate,Moderate,HrMonitorSupervised,2,60,120,Yes,"did interval training, 400m x 4, 800m x 2. 45 minutes? AT group 62.9 kg, 159.0 cm for BMI calculation - assume high adherence, only 2x week. V02 - mlxmin^-1 = 1350 base to 1630."
Fabre2002,Y,Intervention,AerobicTraining,Activity,LogicalMemory,Immediate,WMS-III,Positive,32,8,Aerobic,8,Mental,8,Multicomponent,8,Social,8,65.88,84.38,Older,CognitivelyNormal,24.9,NA,CyclingMaxTest,Max,V02Max,12%,0.12000,VT1,Moderate,Moderate,HrMonitorSupervised,2,60,120,Yes,"did interval training, 400m x 4, 800m x 2. 45 minutes? AT group 62.9 kg, 159.0 cm for BMI calculation - assume high adherence, only 2x week. V02 - mlxmin^-1 = 1350 base to 1630."
Fabre2002,Y,Intervention,AerobicTraining,Activity,DigitSpan,forward,,Null,32,8,Aerobic,8,Mental,8,Multicomponent,8,Social,8,65.88,84.38,Older,CognitivelyNormal,24.9,NA,CyclingMaxTest,Max,V02Max,12%,0.12000,VT1,Moderate,Moderate,HrMonitorSupervised,2,60,120,Yes,"did interval training, 400m x 4, 800m x 2. 45 minutes? AT group 62.9 kg, 159.0 cm for BMI calculation - assume high adherence, only 2x week. V02 - mlxmin^-1 = 1350 base to 1630."
Berryman2014,Y,Intervention,MulticomponentTraining,Activity,DigitSpan,Combined,,Null,47,8,MulticomponentLowerBody,16,MulticomponentUpperBody,15,,,Stretch,16,69.8,61.7,Older,CognitivelyNormal,25.72,96.9,CyclingMaxTest,Max,V02Peak,2.4,0.09020,65%MaximalAerobicPower,Vigorous,Vigorous,NA,3,60,180,Yes,"Reporting lower body BMI, age, etc. 26.6 v02 to 29.0 in lower body. 25.4 to 28.3 in upper body. 20.1 to 19.9 in gross motor control."
Berryman2014,Y,Intervention,MulticomponentTraining,Activity,Stroop,,,Positive,47,8,MulticomponentLowerBody,16,MulticomponentUpperBody,15,,,Stretch,16,69.8,61.7,Older,CognitivelyNormal,25.72,96.9,CyclingMaxTest,Max,V02Peak,2.4,0.09020,65%MaximalAerobicPower,Vigorous,Vigorous,NA,3,60,180,Yes,"Reporting lower body BMI, age, etc. 26.6 v02 to 29.0 in lower body. 25.4 to 28.3 in upper body. 20.1 to 19.9 in gross motor control."
Eggenberger2016,Y,Intervention,Dance,Activity,TrailMaking,A,,Null,33,8,Dance,19,,,,,Stretch,14,74.9,63.6,Older,CognitivelyNormal,24.4,91.4,NA,NA,NA,NA,NA,PerceivedExertion-ModeratetoVigorous,Moderate-Vigorous,Moderate-Vigorous,Self-report,3,30,90,UnclearNoData,"TMT-A and TMT-B Time main effect, both groups improved, not sig interaction with condition"
Eggenberger2016,Y,Intervention,Dance,Activity,TrailMaking,B,,Null,33,8,Dance,19,,,,,Stretch,14,74.9,63.6,Older,CognitivelyNormal,24.4,91.4,NA,NA,NA,NA,NA,PerceivedExertion-ModeratetoVigorous,Moderate-Vigorous,Moderate-Vigorous,Self-report,3,30,90,UnclearNoData,"TMT-A and TMT-B Time main effect, both groups improved, not sig interaction with condition"
Eggenberger2016,Y,Intervention,Dance,Activity,Stroop,,,Positive,33,8,Dance,19,,,,,Stretch,14,74.9,63.6,Older,CognitivelyNormal,24.4,91.4,NA,NA,NA,NA,NA,PerceivedExertion-ModeratetoVigorous,Moderate-Vigorous,Moderate-Vigorous,Self-report,3,30,90,UnclearNoData,"TMT-A and TMT-B Time main effect, both groups improved, not sig interaction with condition"
Schoene2013,Y,Intervention,Exergames,Activity,TrailMaking,B,AdjustedFromTrailA,Null,32,8,Exergames,15,,,,,Nointervention,17,78,NA,Older,CognitivelyNormal,NA,91.66,Na,NA,NA,NA,NA,NA,NA,NA,NA,3,17.5,52.5,UnclearNoData,"Exergame, seems similar to dance?"
Schoene2013,Y,Intervention,Exergames,Activity,VerbalFluency,Animal,dual-task,Positive,32,8,Exergames,15,,,,,Nointervention,17,78,NA,Older,CognitivelyNormal,NA,91.66,Na,NA,NA,NA,NA,NA,NA,NA,NA,3,17.5,52.5,UnclearNoData,"Exergame, seems similar to dance?"
Sugano2012,Y,Intervention,AerobicTraining,Activity,VerbalFluency,Animal,,Null,44,8,Aerobic,14,Cognitive,17,,,Nointervention,13,74.1,67.2,Older,Mixed,NA,66,NA,NA,NA,NA,NA,3Mets,Light,Light,Self-report,1,60,60,No,
Gothe2014,Y,Intervention,Yoga,Activity,Task-switching,,,Positive,108,8,Yoga,58,,,,,Stretch,50,62.1,80.3,Older,CognitivelyNormal,NA,80.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,UnclearNoData,
Gothe2014,Y,Intervention,Yoga,Activity,Nback,,,Positive,108,8,Yoga,58,,,,,Stretch,50,62.1,80.3,Older,CognitivelyNormal,NA,80.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,UnclearNoData,
Schattin2016,Y,Intervention,Exergames,Activity,Nback,,,Positive,27,9,Exergames,13,,,,,Balance,14,79.2,44.4,Older,CognitivelyNormal,NA,100,NA,NA,NA,NA,NA,PerceivedExertion-ModeratetoVigorous,Moderate-Vigorous,Moderate-Vigorous,Self-report,3,30,90,UnclearNoData,"Exergame, seems similar to dance?"
Schattin2016,Y,Intervention,Exergames,Activity,Flanker,,,Null,27,9,Exergames,13,,,,,Balance,14,79.2,44.4,Older,CognitivelyNormal,NA,100,NA,NA,NA,NA,NA,PerceivedExertion-ModeratetoVigorous,Moderate-Vigorous,Moderate-Vigorous,Self-report,3,30,90,UnclearNoData,"Exergame, seems similar to dance?"
Emery1998,Y,Intervention,MulticomponentTraining,Activity,VerbalFluency,Letter,,Positive,79,10,Multicomponent,29,Educational,25,,,Waitlist,25,66.6,53,older,CognitivelyNormal,NA,86,CyclingMaxTest,Max,V02Max,2,0.18180,NA,NA,NA,NA,3,90,270,Yes,Chronic Obstructive Pulmonary Disease - V02 11.6 avg 14.4 at time 2
Emery1998,Y,Intervention,MulticomponentTraining,Activity,TrailMaking,A,,Null,79,10,Multicomponent,29,Educational,25,,,Waitlist,25,66.6,53,older,CognitivelyNormal,NA,86,CyclingMaxTest,Max,V02Max,2,0.18180,NA,NA,NA,NA,3,90,270,Yes,Chronic Obstructive Pulmonary Disease - V02 11.6 avg 14.4 at time 2
Emery1998,Y,Intervention,MulticomponentTraining,Activity,TrailMaking,B,,Null,79,10,Multicomponent,29,Educational,25,,,Waitlist,25,66.6,53,older,CognitivelyNormal,NA,86,CyclingMaxTest,Max,V02Max,2,0.18180,NA,NA,NA,NA,3,90,270,Yes,Chronic Obstructive Pulmonary Disease - V02 11.6 avg 14.4 at time 2
Masley2009,N,Intervention,AerobicTraining,Activity,RAVLT,Immediate,CNSVitalSigns,Null,91,10,Aerobic,71,,,,,Nocontact,20,47.4,67.6,Middle,,,,,,,,NA,,,,,,,NA,,"modified RAVLT - combined in composite with visual memory from - Rey Visual Design Learning Test. Control 0-2 days vs aerobic. Moderate aerobic 3-4, high aerobic 5-6…MV - no don’t include, combining 2 domains.. Composite for stroop and another task as well."
Barnes2013,Y,Intervention,AerobicTraining,Activity,Flanker,,,Null,126,12,Aerobic,31,,,,,Stretch,32,74.3,60.3,Older,CognitivelyNormal,NA,NA,Age,Calculated,NA,NA,NA,60-75%AgePredictedMax,Moderate-Vigorous,Moderate,Self-Pulse,3,60,180,Yes,"Cognitive training group and control groups as separate arms (MAX Trial) - measured by participant checking pulse on neck, dance based aerobic exercise"
Barnes2013,Y,Intervention,AerobicTraining,Activity,RAVLT,Delayed,,Null,126,12,Aerobic,31,,,,,Stretch,32,74.3,60.3,Older,CognitivelyNormal,NA,NA,Age,Calculated,NA,NA,NA,60-75%AgePredictedMax,Moderate-Vigorous,Moderate,Self-Pulse,3,60,180,Yes,"Cognitive training group and control groups as separate arms (MAX Trial) - measured by participant checking pulse on neck, dance based aerobic exercise"
Barnes2013,Y,Intervention,AerobicTraining,Activity,VerbalFluency,Letter,,Null,126,12,Aerobic,31,,,,,Stretch,32,74.3,60.3,Older,CognitivelyNormal,NA,NA,Age,Calculated,NA,NA,NA,60-75%AgePredictedMax,Moderate-Vigorous,Moderate,Self-Pulse,3,60,180,Yes,"Cognitive training group and control groups as separate arms (MAX Trial) - measured by participant checking pulse on neck,  dance based aerobic exercise"
Barnes2013,Y,Intervention,AerobicTraining,Activity,TrailMaking,A,,Null,126,12,Aerobic,31,,,,,Stretch,32,74.3,60.3,Older,CognitivelyNormal,NA,NA,Age,Calculated,NA,NA,NA,60-75%AgePredictedMax,Moderate-Vigorous,Moderate,Self-Pulse,3,60,180,Yes,"Cognitive training group and control groups as separate arms (MAX Trial) - measured by participant checking pulse on neck, dance based aerobic exercise"
Barnes2013,Y,Intervention,AerobicTraining,Activity,TrailMaking,B,,Null,126,12,Aerobic,31,,,,,Stretch,32,74.3,60.3,Older,CognitivelyNormal,NA,NA,Age,Calculated,NA,NA,NA,60-75%AgePredictedMax,Moderate-Vigorous,Moderate,Self-Pulse,3,60,180,Yes,"Cognitive training group and control groups as separate arms (MAX Trial) - measured by participant checking pulse on neck,  dance based aerobic exercise"
Emery1990,Y,Intervention,AerobicTraining,Activity,DigitSpan,,,Null,48,12,Aerobic,15,Social,15,,,Waitlist,18,72,83.33,Older,CognitivelyNormal,NA,77,Age,Calculated,NA,NA,NA,70%HrMax,Moderate,Moderate,Self-Pulse,3,60,180,Yes,61-94% session adherence. 19% attrition. 
Holthoff2015,Y,Intervention,AerobicTraining,Activity,VerbalFluency,Semantic,,Positive,30,12,Aerobic,15,,,,,MotorAssistedCycling,15,72.4,50,Older,Dementia,23.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,30,90,No,Alzheimer's… increase in ADL. Session adherence high but not reported
Langlois2013,Y,Intervention,AerobicTraining,Activity,RAVLT,,,Null,72,12,Aerobic,36,,,,,Waitlist,36,71.45,77.77,Older,CognitivelyNormal,NA,NA,NA,NA,6minWalk,NA,NA,PerceivedExertion-ModeratetoVigorous,Moderate-Vigorous,Moderate-Vigorous,Self-report,3,60,180,UnclearNoData,"Composite RAVLT - Frailty 2 of 3 symptoms required - borg rating of perceived exertion scale 0-10, reach moderate to hard intensity, reported as composities. Executive function is stroop and trailmaking b-a"
Langlois2013,Y,Intervention,AerobicTraining,Activity,TrailMaking,B,AdjustedFromTrailA,Positive,72,12,Aerobic,36,,,,,Waitlist,36,71.45,77.77,Older,CognitivelyNormal,NA,NA,NA,NA,6minWalk,NA,NA,PerceivedExertion-ModeratetoVigorous,Moderate-Vigorous,Moderate-Vigorous,Self-report,3,60,180,UnclearNoData,"Composite RAVLT - Frailty 2 of 3 symptoms required - borg rating of perceived exertion scale 0-10, reach moderate to hard intensity, reported as composities. Executive function is stroop and trailmaking b-a"
Langlois2013,Y,Intervention,AerobicTraining,Activity,Stroop,,,Positive,72,12,Aerobic,36,,,,,Waitlist,36,71.45,77.77,Older,CognitivelyNormal,NA,NA,NA,NA,6minWalk,NA,NA,PerceivedExertion-ModeratetoVigorous,Moderate-Vigorous,Moderate-Vigorous,Self-report,3,60,180,UnclearNoData,"Composite RAVLT - Frailty 2 of 3 symptoms required - borg rating of perceived exertion scale 0-10, reach moderate to hard intensity, reported as composities. Executive function is stroop and trailmaking b-a"
Langlois2013,Y,Intervention,AerobicTraining,Activity,DigitSpan,backward,,Positive,72,12,Aerobic,36,,,,,Waitlist,36,71.45,77.77,Older,CognitivelyNormal,NA,NA,NA,NA,6minWalk,NA,NA,PerceivedExertion-ModeratetoVigorous,Moderate-Vigorous,Moderate-Vigorous,Self-report,3,60,180,UnclearNoData,"Composite RAVLT - Frailty 2 of 3 symptoms required - borg rating of perceived exertion scale 0-10, reach moderate to hard intensity, reported as composities. Executive function is stroop and trailmaking b-a"
Molloy1988b,Y,Intervention,MulticomponentTraining,Activity,LogicalMemory,Immediate,WMS-III,Null,45,12,Multicomponent,23,,,,,Nocontact,22,82,100,Older,CognitivelyNormal,NA,71,NA,NA,NA,NA,NA,10-20beats increase,Light,VeryLight,NA,3,45,135,No,"Institutionalized, not intended to increaes fitness, 10-20 beats/min increase in HR."
Molloy1988b,Y,Intervention,MulticomponentTraining,Activity,VerbalFluency,Category,WesternAphasiaBattery,Positive,45,12,Multicomponent,23,,,,,Nocontact,22,82,100,Older,CognitivelyNormal,NA,71,NA,NA,NA,NA,NA,10-20beats increase,Light,VeryLight,NA,3,45,135,No,"Institutionalized, not intended to increaes fitness, 10-20 beats/min increase in HR."
Molloy1988b,Y,Intervention,MulticomponentTraining,Activity,DigitSpan,Combined,,Null,45,12,Multicomponent,23,,,,,Nocontact,22,82,100,Older,CognitivelyNormal,NA,71,NA,NA,NA,NA,NA,10-20beats increase,Light,VeryLight,NA,3,45,135,No,"Institutionalized, not intended to increaes fitness, 10-20 beats/min increase in HR."
Steinberg2009,Y,Intervention,MulticomponentTraining,Activity,HVLT,,,Null,27,12,Multicomponent,14,,,,,Homesafety,13,76.5,70.37,Older,Dementia,NA,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,No,"Unclear what part of HVLT is reported. Poor reporting, questionable if we should include. Only recovered 92/156 of the participants exercise data. Of those, they reached 79% of their goals fo aerobic (self-report). More interested in improving daily living for MCI."
VandeWinkclen2004,Y,Intervention,AerobicTraining,Activity,VerbalFluency,Category,ADS6,Positive,25,12,Aerobic,15,,,,,Nointervention,10,81.33,100,Older,Dementia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,30,210,No,"dementia, not interested in CRF, physical activity and music "
Hassmen1992,Y,Intervention,AerobicTraining,Activity,DigitSpan,forward,,Positive,30,12,Aerobic,15,,,,,Cognitive,15,66.2,100,Older,CognitivelyNormal,25.7,NA,CyclingSubMax,Estimated,V02Max,3,0.10530,PerceivedExertion-Moderate,Moderate,Moderate,Self-report,3,20,60,Yes,"Assumed forward digit span from description. Estimated Vo2 max  according to tables by Astrand (1960); Astrand and Ryhming (1954) based on cycle ergometer watter between 50 and 100w. 55-65yo V02 28.5-31.5, 66-75yo 26.3-29.3. Estimated BMI from height/weight of 55-65 age group."
Hassmen1997,Y,Intervention,AerobicTraining,Activity,ListLearning,Immediate,,Null,40,12,Aerobic,20,,,,,Nointervention,20,66.4,50,Older,CognitivelyNormal,NA,NA,CyclingSubMax,Estimated,NA,NA,NA,PerceivedExertion-Moderate,Moderate,Moderate,Self-report,3,30,90,UnclearNoData,Did cycling test to determine RPE scale with HR. main effect
Hassmen1997,Y,Intervention,AerobicTraining,Activity,ListLearning,Delayed,,Null,40,12,Aerobic,20,,,,,Nointervention,20,66.4,50,Older,CognitivelyNormal,NA,NA,CyclingSubMax,Estimated,NA,NA,NA,PerceivedExertion-Moderate,Moderate,Moderate,Self-report,3,30,90,UnclearNoData,Did cycling test to determine RPE scale with HR.
Hassmen1997,Y,Intervention,AerobicTraining,Activity,DigitSpan,forward,,Positive,40,12,Aerobic,20,,,,,Nointervention,20,66.4,50,Older,CognitivelyNormal,NA,NA,CyclingSubMax,Estimated,NA,NA,NA,PerceivedExertion-Moderate,Moderate,Moderate,Self-report,3,30,90,UnclearNoData,Did cycling test to determine RPE scale with HR.
Linde2014,Y,Intervention,AerobicTraining,Activity,TrailMaking,A,,Null,55,12,Aerobic,15,Multicomponent,16,Cognitive,11,Waitlist,13,67.63,58,Older,CognitivelyNormal,NA,81,2kmWalk,Estimated,V02Max,NA,NA,60-70%HrReserve,Vigorous,Vigorous,HrMonitorSupervised,2,60,120,Yes,"All groups increased V02, unlikely that their version of submax test is valid. Not reporting changeinfm"
Linde2014,Y,Intervention,AerobicTraining,Activity,ListLearning,Immediate,,Null,55,12,Aerobic,15,Multicomponent,16,Cognitive,11,Waitlist,13,67.63,58,Older,CognitivelyNormal,NA,81,2kmWalk,Estimated,V02Max,NA,NA,60-70%HrReserve,Vigorous,Vigorous,HrMonitorSupervised,2,60,120,Yes,"All groups increased V02, unlikely that their version of submax test is valid. Not reporting changeinfm"
Maki2012,Y,Intervention,AerobicTraining,Activity,VerbalFluency,Animal,,Positive,133,12,Aerobic,66,,,,,Educational,67,72,70.66,Older,CognitivelyNormal,NA,87.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,90,90,UnclearNoData,
Maki2012,Y,Intervention,AerobicTraining,Activity,TrailMaking,A,,Null,133,12,Aerobic,66,,,,,Educational,67,72,70.66,Older,CognitivelyNormal,NA,87.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,90,90,UnclearNoData,
Maki2012,Y,Intervention,AerobicTraining,Activity,TrailMaking,B,,Null,133,12,Aerobic,66,,,,,Educational,67,72,70.66,Older,CognitivelyNormal,NA,87.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,90,90,UnclearNoData,
Stamford1974,Y,Intervention,AerobicTraining,Activity,DigitSpan,Combined,,Null,17,12,Aerobic,9,,,,,Social,8,71.5,0,Older,PsychiatricInstitutionalization,NA,NA,Age,Calculated,NA,NA,NA,70%HrMax,Moderate,Moderate,Supervised-Pulse,5,20,100,Yes,
Wallman2004,Y,Intervention,AerobicTraining,Activity,Stroop,,,Positive,61,12,Aerobic,32,,,,,Stretch,29,NA,77.05,Mixed,CognitivelyNormal,NA,NA,CyclingSubMax,Estimate,V02Max,1.5,0.09620,75%HrMax,Vigorous,Vigorous,HrMonitorSelf,3.5,15,52.5,Yes,"Chronic fatigue syndrome, ages 16-74. v02 max 15.6 to 17.1"
Desjardins-Crépeau2016,Y,Intervention,MulticomponentTraining,Activity,RAVLT,LearningTrials,,Null,76,12,Aerobic,38,,,,,Stretch,38,72.7,69.7,Older,CognitivelyNormal,NA,95.4,NA,NA,6minWalk,NA,NA,PerceivedExertion-ModeratetoVigorous,Moderate-Vigorous,Moderate-Vigorous,Self-report,2,55,110,UnclearNoData,"Not an interaction of condition, could be practice effects. Stretching group also improved on the two tasks."
Desjardins-Crépeau2016,Y,Intervention,MulticomponentTraining,Activity,RAVLT,Immediate,,Null,76,12,Aerobic,38,,,,,Stretch,38,72.7,69.7,Older,CognitivelyNormal,NA,95.4,NA,NA,6minWalk,NA,NA,PerceivedExertion-ModeratetoVigorous,Moderate-Vigorous,Moderate-Vigorous,Self-report,2,55,110,UnclearNoData,"Not an interaction of condition, could be practice effects. Stretching group also improved on the two tasks."
Desjardins-Crépeau2016,Y,Intervention,MulticomponentTraining,Activity,RAVLT,Delayed,,Null,76,12,Aerobic,38,,,,,Stretch,38,72.7,69.7,Older,CognitivelyNormal,NA,95.4,NA,NA,6minWalk,NA,NA,PerceivedExertion-ModeratetoVigorous,Moderate-Vigorous,Moderate-Vigorous,Self-report,2,55,110,UnclearNoData,"Not an interaction of condition, could be practice effects. Stretching group also improved on the two tasks."
Desjardins-Crépeau2016,Y,Intervention,MulticomponentTraining,Activity,Stroop,,,Null,76,12,Aerobic,38,,,,,Stretch,38,72.7,69.7,Older,CognitivelyNormal,NA,95.4,NA,NA,6minWalk,NA,NA,PerceivedExertion-ModeratetoVigorous,Moderate-Vigorous,Moderate-Vigorous,Self-report,2,55,110,UnclearNoData,"Not an interaction of condition, could be practice effects. Stretching group also improved on the two tasks."
Desjardins-Crépeau2016,Y,Intervention,MulticomponentTraining,Activity,TrailMaking,A,,Null,76,12,Aerobic,38,,,,,Stretch,38,72.7,69.7,Older,CognitivelyNormal,NA,95.4,NA,NA,6minWalk,NA,NA,PerceivedExertion-ModeratetoVigorous,Moderate-Vigorous,Moderate-Vigorous,Self-report,2,55,110,UnclearNoData,"Not an interaction of condition, could be practice effects. Stretching group also improved on the two tasks."
Desjardins-Crépeau2016,Y,Intervention,MulticomponentTraining,Activity,TrailMaking,B,,Null,76,12,Aerobic,38,,,,,Stretch,38,72.7,69.7,Older,CognitivelyNormal,NA,95.4,NA,NA,6minWalk,NA,NA,PerceivedExertion-ModeratetoVigorous,Moderate-Vigorous,Moderate-Vigorous,Self-report,2,55,110,UnclearNoData,"Not an interaction of condition, could be practice effects. Stretching group also improved on the two tasks."
Desjardins-Crépeau2016,Y,Intervention,MulticomponentTraining,Activity,Task-switching,,,Null,76,12,Aerobic,38,,,,,Stretch,38,72.7,69.7,Older,CognitivelyNormal,NA,95.4,NA,NA,6minWalk,NA,NA,PerceivedExertion-ModeratetoVigorous,Moderate-Vigorous,Moderate-Vigorous,Self-report,2,55,110,UnclearNoData,"Not an interaction of condition, could be practice effects. Stretching group also improved on the two tasks."
Malliot2012,Y,Intervention,Exergames,Activity,TrailMaking,B,AdjustedFromTrailA,Positive,32,12,Exergames,16,,,,,NoContact,16,73.5,84.4,Older,CognitivelyNormal,27.4,97.5,NA,NA,6minWalk,NA,NA,NA,NA,NA,NA,2,60,120,No,"Exergame, seems similar to dance?"
Malliot2012,Y,Intervention,Exergames,Activity,Stroop,,,Positive,32,12,Exergames,16,,,,,NoContact,16,73.5,84.4,Older,CognitivelyNormal,27.4,97.5,NA,NA,6minWalk,NA,NA,NA,NA,NA,NA,2,60,120,No,"Exergame, seems similar to dance?"
